page,country,rev_id,prediction
Misir Mardanov,Azerbaijan,798073295,No_Score
Jesse Spikes,United States,798615865,No_Score
Ramesh Chander Bidhan,India,798841317,No_Score
Abdullah bin Mohammed Al Thani,United Arab Emirates,798865216,No_Score
Maria Hadjipavlou,Cyprus,798891126,No_Score
Kevin Malcolm Everett,United Kingdom,798945915,No_Score
Darcie Lanthier,Canada,798952867,No_Score
Morteza Kazemian,Iran,799036953,No_Score
V. Sadasivan,India,799263010,No_Score
Norm Wolfinger,United States,799300265,No_Score
Mohd Eekmal Ahmad,Malaysia,799540668,No_Score
Raja Muhammad Akbar Khan,Pakistan,799880073,No_Score
Rich Eychaner,United States,799933274,No_Score
José Francisco Gomes Monteiro,Portugal,799981363,No_Score
Michael McInerney,Ireland,800072571,No_Score
Craig Huey,United States,800144885,No_Score
Abhimanyu Rao,India,800233652,No_Score
Donald Jeffrey Large,United States,800299837,No_Score
Dragan Klaric,Sweden,800471126,No_Score
Bashir Ahmed Sarki,Pakistan,800574730,No_Score
Siddique Nazmul Alam,Bangladesh,800707821,No_Score
Vasyl Stefanyk,Hungary,800802122,No_Score
Georges Sada,Iraq,801177435,No_Score
Anwara Ali,United Kingdom,801306872,No_Score
Secular and Nationalist Jinnah,Pakistan,801536406,No_Score
Ambedkarism,India,801563949,No_Score
Michael Briguglio,Malta,801566979,No_Score
Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates,801638735,No_Score
Abhijit Pandya,United Kingdom,801696196,No_Score
Ouyang Xiu,China,801835819,No_Score
Ali Asghar Khan (politician),Pakistan,802148439,No_Score
List of politicians on Veep,United States,802302246,No_Score
Daniel O'Neill (Royalist),Ireland,802445176,No_Score
Ananda Syahendar Perdana,Indonesia,802475516,No_Score
Ezatullah Mujahid,Afghanistan,802515929,No_Score
Maciej Filip Zegarski,Poland,802765034,No_Score
Bernard Binlin Dadié,Ivorian,802904214,No_Score
Than Htay,Myanmar,802937732,No_Score
Anatoliy Peshko,Ukraine,803413615,No_Score
Kevin Hardwick,United States,803484030,No_Score
David Sparrow,Canada,803784385,No_Score
Iftikhar Ahmed (Swiss lawmaker),Switzerland,804057093,No_Score
João Victor Guedes,Brazil,804118645,No_Score
Kampa Borgoyary,India,804158476,No_Score
Lucia Lucchesi-Ghiselli,Italy,804473605,No_Score
Lib Peck,United Kingdom,804697858,No_Score
Dudley–Winthrop family,United States,804791599,No_Score
Larry A. Kaczala,United States,804941978,No_Score
William M. Rainach,United States,804945338,No_Score
David J. Dwork,United States,804946658,No_Score
Ron Crickenberger,United States,805031334,No_Score
Lav Grigorije Pajkić,Serbia,805041930,No_Score
Richards–Young family,United States,805211553,No_Score
Ian Axton,United Kingdom,805420467,No_Score
Dennis Shea (lawyer),United States,805517427,No_Score
Kamrul Hasan Nasim,Bangladesh,805697623,No_Score
Political positions of Pat Buchanan,United States,805788048,No_Score
Hossein Khan Movaghar,Iran,805936041,No_Score
Ali Asghar Mousapasandi,Iran,805970954,No_Score
Valeriy Panasenko,Moldova,805993160,No_Score
Edivaldo Holanda Júnior,Brazil,806030859,No_Score
Rajah Alon,Philippines,806179522,No_Score
Golam Mohammad Rabbani,Bangladesh,806223655,No_Score
Mohammed Naguib,Egypt,806372496,No_Score
Phillip Jackson,United States,806403304,No_Score
Valeriu Turea,Moldova,806542084,No_Score
Rajah Gambang,Philippines,806695084,No_Score
Claudia Cruz Santiago,Mexico,806708318,No_Score
Olajide Awosedo,Nigeria,806811023,No_Score
William McMahon,Australia,807000274,No_Score
Dirtbag Left,United States,807161510,No_Score
Guy Georgias,Zimbabwe,807196681,No_Score
John Rose (Trotskyist),United Kingdom,807336308,No_Score
Jalal Movaghar,Iran,807367030,No_Score
Mohsen Movaghar,Iran,807367166,No_Score
King Gutierrez,Philippines,807479587,No_Score
Ajay Kannoujiya,India,807484325,No_Score
